age_bracket,education_level,income_bracket,gender,geographic_region,urban_rural,industry_sector,job_type,ai_familiarity_score,ai_use_frequency,has_used_ai_on_job,sentiment_toward_ai,perceived_benefit,perceived_risk,adoption_intent,expected_job_impact,concerns,use_cases
35-44,High School or less,<25k,female,West,urban,Technology,Skilled Trade,6,monthly,FALSE,-0.367777214,2.726495145960334,4.0300347594238595,5,neutral,regulation,automation|augmentation
18-24,High School or less,25-50k,female,West,urban,Other,Individual Contributor,3,never,FALSE,-1.769148394,1,4.614549436352021,2,positive,job_loss|bias,automation
25-34,High School or less,<25k,male,Northeast,suburban,Other,Individual Contributor,6,rarely,FALSE,2.3896632563937557,2.0050609111556597,4.146009187108077,2,positive,privacy,augmentation
65+,Some college / Associate,50-100k,male,South,suburban,Retail,Clerical/Support,5,never,TRUE,1.7989157334022359,3.8542940735586124,4.507446489493433,4,neutral,transparency,augmentation
65+,Bachelor's,100-200k,female,South,urban,Other,Individual Contributor,7,never,FALSE,0.75767606,1.1399132518530353,3.5631008566322224,6,positive,privacy,analytics
35-44,Bachelor's,50-100k,female,South,urban,Finance,Individual Contributor,3,never,TRUE,1.9798571014085122,2.4364379589239387,2.449951923269582,3,positive,privacy,automation
25-34,Some college / Associate,100-200k,male,Northeast,urban,Services,Manager,8,rarely,FALSE,1.447775173142462,3.8667786390428716,3.700830475101235,4,positive,privacy,analytics|agents
35-44,High School or less,100-200k,female,South,suburban,Other,Individual Contributor,9,never,FALSE,1.7863329520836075,2.3635337927916185,5.643144373463427,5,neutral,job_loss,automation|augmentation|customer_service
18-24,Some college / Associate,50-100k,male,Northeast,rural,Manufacturing,Individual Contributor,2,monthly,TRUE,-0.123979066,3.0251068920260824,5.188052010181805,1,negative,privacy,content_generation
18-24,Some college / Associate,200k+,male,Midwest,suburban,Retail,Individual Contributor,9,never,FALSE,1.6655163703744686,3.69926707,2.447027680180014,5,negative,accuracy|transparency,analytics
35-44,Some college / Associate,50-100k,male,West,urban,Manufacturing,Manager,5,never,FALSE,0.15191575980655203,2.0413672036664936,4.881382318306339,2,neutral,bias,content_generation
65+,High School or less,100-200k,female,South,rural,Education,Manager,3,never,FALSE,0.392709489,3.1397189958325207,4.120419456178155,3,positive,bias|ethics,augmentation
35-44,Bachelor's,<25k,female,Midwest,urban,Services,Individual Contributor,4,never,TRUE,0.5243344398360016,2.6849840231923707,4.448118596576594,4,positive,transparency,analytics|content_generation
65+,High School or less,50-100k,male,Midwest,urban,Retail,Skilled Trade,10,never,FALSE,4.404401840777195,2.951569314059129,2.189665939137487,4,neutral,transparency,automation|customer_service|hiring
55-64,High School or less,50-100k,female,Midwest,urban,Other,Manager,8,never,FALSE,2.7673365387188076,2.6529141662400235,3.0892917605156156,4,neutral,safety,augmentation
35-44,Bachelor's,100-200k,female,Midwest,suburban,Technology,Individual Contributor,6,never,TRUE,-1.160807895,2.389834395753013,2.991676052,3,positive,safety,automation
45-54,High School or less,25-50k,female,West,suburban,Other,Individual Contributor,6,never,FALSE,1.2351155248303245,2.7096243610718664,3.9483658996418804,3,neutral,privacy|accuracy,content_generation
45-54,Some college / Associate,25-50k,female,Midwest,suburban,Healthcare,Individual Contributor,3,never,FALSE,2.420982585036623,2.616965096702815,4.923622812735791,1,positive,accuracy|transparency,analytics
35-44,Bachelor's,50-100k,male,Midwest,urban,Manufacturing,Individual Contributor,8,never,FALSE,2.4645008958912786,3.0284144920819585,4.064833528845147,4,negative,privacy|bias,analytics
25-34,Some college / Associate,50-100k,male,South,urban,Services,Individual Contributor,7,rarely,FALSE,0.7868775385790856,4.6109816901273755,4.4615158593388635,2,positive,accuracy|safety,analytics
35-44,Bachelor's,25-50k,female,Northeast,urban,Healthcare,Individual Contributor,9,never,TRUE,1.783934805551258,3.9559784937252185,3.787495420946925,4,neutral,transparency,automation
18-24,Some college / Associate,50-100k,female,West,urban,Healthcare,Manager,8,never,FALSE,-1.470090596,4.381322530194893,3.1450252791331508,6,positive,privacy,augmentation
25-34,Doctorate/Prof,50-100k,female,South,suburban,Services,Skilled Trade,2,never,FALSE,0.1467719691374293,1.152448277543546,5.2636110581137805,1,negative,regulation,automation|customer_service
25-34,Master's,25-50k,male,South,suburban,Finance,Manager,8,never,TRUE,2.0098667567756068,5.642876663142342,2.579675199457739,3,neutral,bias|accuracy,automation|analytics
55-64,Doctorate/Prof,25-50k,male,South,urban,Services,Skilled Trade,8,never,FALSE,1.5066018348291212,2.1986527570584364,3.9685363718442006,4,positive,ethics,automation|augmentation|analytics
25-34,Bachelor's,50-100k,female,Midwest,urban,Technology,Executive,5,never,FALSE,0.7223960543479455,2.4335909201976444,2.9061289586147767,3,positive,privacy|bias|transparency,hiring
25-34,High School or less,200k+,male,South,urban,Other,Executive,8,never,FALSE,2.749641430816698,2.38393718,5.462138123601371,4,negative,regulation,automation
35-44,Bachelor's,<25k,female,West,urban,Education,Manager,7,never,FALSE,1.199034611134406,2.6151345345567485,5.412787589262731,4,positive,safety,automation|analytics
35-44,High School or less,50-100k,female,West,urban,Other,Skilled Trade,1,rarely,FALSE,-2.125643445,3.896841822011523,4.478049845767399,1,neutral,privacy|transparency,automation
55-64,High School or less,100-200k,female,South,suburban,Healthcare,Executive,5,never,FALSE,1.7538530438193134,5.326179185739623,2.9102543898994915,3,positive,bias|accuracy,content_generation
55-64,High School or less,50-100k,female,South,urban,Other,Manager,8,never,FALSE,0.6062093670211365,4.103484530656492,4.017886429682136,5,positive,bias,customer_service
35-44,Bachelor's,50-100k,female,South,urban,Technology,Individual Contributor,5,never,FALSE,1.922968279187533,3.107775010312138,5.856686930288993,2,negative,regulation,hiring
45-54,High School or less,50-100k,nonbinary,Midwest,suburban,Other,Manager,4,rarely,FALSE,0.39274313286263307,5.651841725912597,5.3519870200658595,4,negative,privacy,analytics
18-24,Master's,100-200k,male,West,urban,Other,Manager,7,weekly,FALSE,-0.353027763,4.2800599813853655,2.8536812248512287,6,positive,job_loss|bias,augmentation
45-54,Bachelor's,50-100k,female,West,suburban,Government,Skilled Trade,5,never,FALSE,1.1927727477570005,2.4262364009303368,1.2340829152933899,2,positive,privacy,analytics
45-54,Bachelor's,50-100k,male,South,suburban,Technology,Skilled Trade,6,monthly,TRUE,0.37711943142279597,2.4775291226111973,3.6449337898834497,4,negative,privacy|accuracy,automation|augmentation|analytics
35-44,Some college / Associate,25-50k,female,South,suburban,Manufacturing,Individual Contributor,6,rarely,TRUE,1.131417070397803,5.190484741246834,3.069899970626422,4,negative,accuracy|safety,agents
25-34,Master's,<25k,male,Midwest,urban,Government,Executive,6,rarely,FALSE,-0.083270196,3.760395368005978,5.791776270491933,5,neutral,privacy,analytics
18-24,Bachelor's,100-200k,male,South,suburban,Government,Skilled Trade,2,never,FALSE,0.004765462,3.257118962382613,5.416269468616775,3,neutral,privacy,analytics
35-44,High School or less,25-50k,female,South,urban,Manufacturing,Manager,3,daily,FALSE,0.9139664950750688,4.324057719369627,6.339108685920879,3,neutral,accuracy,automation
65+,High School or less,25-50k,male,Midwest,urban,Retail,Individual Contributor,5,never,FALSE,1.4207938605623747,2.5152751665749946,5.104094867396169,3,positive,accuracy,analytics|content_generation|automation
35-44,Bachelor's,100-200k,female,West,urban,Services,Individual Contributor,4,daily,FALSE,-0.154999163,2.2284243174070055,4.229940892325939,3,neutral,transparency|ethics,analytics
18-24,Bachelor's,200k+,female,South,urban,Other,Individual Contributor,6,rarely,FALSE,1.339419551065299,1.619422182928073,4.098106239072981,2,negative,privacy,analytics
25-34,Some college / Associate,50-100k,male,Northeast,rural,Finance,Manager,7,never,FALSE,0.13097657274870467,5.067248418,4.565673521657782,4,positive,job_loss,automation
25-34,Bachelor's,100-200k,male,Midwest,urban,Manufacturing,Individual Contributor,4,rarely,FALSE,0.49723058097668194,3.2104662797106567,3.7486054418075625,2,positive,accuracy,augmentation
45-54,Bachelor's,100-200k,male,West,urban,Services,Individual Contributor,7,never,FALSE,-0.613214611,3.769270172535812,2.186826225110769,4,negative,accuracy|regulation,automation|augmentation
45-54,High School or less,50-100k,male,Northeast,urban,Government,Individual Contributor,5,rarely,FALSE,-0.346204937,2.277872660713073,3.1897543089676454,1,negative,ethics,analytics
35-44,High School or less,100-200k,female,South,urban,Services,Individual Contributor,4,rarely,FALSE,-1.622623659,4.136661775,4.6785988325602705,4,neutral,transparency,augmentation
35-44,Doctorate/Prof,100-200k,female,Northeast,urban,Finance,Individual Contributor,4,never,TRUE,-0.376193118,1.4098828421928091,2.883019657901744,4,positive,safety,automation|analytics
55-64,High School or less,200k+,female,Northeast,urban,Retail,Individual Contributor,5,never,FALSE,0.7391367836577303,1.3751130802668716,5.481755458472449,4,neutral,transparency,agents
35-44,Some college / Associate,<25k,male,West,urban,Technology,Manager,8,never,TRUE,1.8226810548627015,1.8123632636008655,2.857809206077743,5,positive,job_loss|privacy|transparency,analytics
65+,Doctorate/Prof,25-50k,female,Northeast,urban,Technology,Individual Contributor,8,daily,TRUE,2.482742275246192,1.7849790194062596,5.2916767464957974,2,negative,job_loss,automation
55-64,Bachelor's,50-100k,male,West,urban,Technology,Individual Contributor,6,never,FALSE,-2.234668629,5.291388422554089,5.225702343942581,4,positive,safety,hiring
45-54,Some college / Associate,50-100k,female,West,urban,Other,Individual Contributor,6,rarely,FALSE,1.0336492086779154,3.5884657901299737,4.747721655,3,neutral,regulation,analytics
18-24,Master's,<25k,male,Northeast,rural,Technology,Individual Contributor,6,rarely,TRUE,1.5063535437222522,3.4993643036677753,4.617149907988283,3,positive,job_loss,agents
25-34,High School or less,50-100k,female,Midwest,suburban,Education,Individual Contributor,4,rarely,FALSE,-0.264920299,3.478841877516081,4.323860280586343,3,positive,job_loss,augmentation|analytics|content_generation
55-64,Some college / Associate,100-200k,female,West,urban,Other,Manager,2,rarely,FALSE,0.26351553707035436,2.3041842798790184,5.365666070268837,1,negative,privacy,automation
18-24,Some college / Associate,100-200k,male,West,urban,Services,Individual Contributor,6,rarely,FALSE,0.4665447026242402,3.335039810464079,3.3374270732852933,3,negative,safety,content_generation
65+,Some college / Associate,25-50k,male,Northeast,rural,Healthcare,Individual Contributor,4,never,FALSE,-0.53110061,3.4374465291089185,4.454067332588389,3,positive,transparency,agents
45-54,Master's,50-100k,female,South,urban,Services,Individual Contributor,5,rarely,FALSE,0.48400309561518884,2.257189227205023,3.652776245628205,2,neutral,regulation,analytics
65+,Some college / Associate,<25k,male,South,urban,Services,Individual Contributor,8,rarely,FALSE,0.7185559639600732,4.580489380420042,4.712507970941594,5,neutral,transparency,automation
45-54,Doctorate/Prof,100-200k,female,South,rural,Education,Individual Contributor,3,never,FALSE,0.7540733995351241,2.8228028822834017,5.465926299062353,4,negative,accuracy,analytics
45-54,High School or less,<25k,male,West,urban,Manufacturing,Individual Contributor,6,never,FALSE,1.7925421648383892,4.334271444199811,3.945464777152685,3,negative,transparency,augmentation
55-64,High School or less,<25k,male,West,urban,Healthcare,Manager,8,never,TRUE,0.8385989238025802,2.262739391611146,4.137691346827297,3,positive,transparency,automation|augmentation|content_generation
45-54,Master's,25-50k,male,South,urban,Services,Individual Contributor,6,never,FALSE,0.9301125339442461,2.046314231124989,2.5098649874310173,3,negative,privacy|accuracy,hiring
65+,Some college / Associate,50-100k,female,South,suburban,Retail,Individual Contributor,3,never,FALSE,0.4264931821589649,3.0168937016922937,3.334500486535527,1,negative,transparency,content_generation
35-44,Bachelor's,100-200k,female,West,suburban,Other,Manager,9,never,FALSE,2.161722611786262,4.495418302738798,1.9068763412375773,5,negative,accuracy,augmentation
55-64,Doctorate/Prof,25-50k,male,South,urban,Finance,Executive,6,rarely,FALSE,-0.517781968,1.010870367,2.5422150467420717,3,neutral,safety|regulation,automation
35-44,High School or less,<25k,female,South,urban,Education,Manager,6,never,FALSE,1.290023603908295,3.7961958270858185,3.1463740189787663,3,positive,job_loss,augmentation
18-24,Some college / Associate,50-100k,male,Midwest,suburban,Education,Individual Contributor,5,rarely,FALSE,-1.244524272,4.289701258948503,2.3957634896675755,4,neutral,privacy|transparency,analytics
25-34,High School or less,25-50k,female,West,suburban,Technology,Manager,9,never,FALSE,0.5911617627429722,5.068269516490428,5.694068905639162,4,negative,ethics,automation|augmentation
45-54,High School or less,100-200k,female,South,urban,Services,Clerical/Support,6,daily,TRUE,-1.315656016,3.369147304083147,3.055585425,5,positive,regulation,automation
45-54,High School or less,<25k,female,South,suburban,Other,Manager,7,never,TRUE,1.0447143853446066,1.0914845957563934,4.381396761,2,neutral,regulation,augmentation|analytics
35-44,High School or less,25-50k,male,South,rural,Technology,Individual Contributor,6,never,FALSE,0.9243939490147041,2.253018623,3.515614983038111,5,negative,transparency,customer_service
18-24,High School or less,100-200k,female,Midwest,urban,Manufacturing,Executive,7,never,FALSE,1.062180415119104,2.7411893321874494,2.7096433611893813,4,neutral,bias|transparency|ethics,automation|augmentation
25-34,Some college / Associate,<25k,female,Northeast,suburban,Manufacturing,Individual Contributor,7,monthly,TRUE,0.3117649856855248,2.8023915561463295,6.015690235248468,3,positive,privacy|bias|accuracy,automation|analytics
55-64,Bachelor's,25-50k,female,Northeast,suburban,Technology,Clerical/Support,6,never,TRUE,2.991360503678474,2.9485561620758265,4.155914835522258,2,neutral,privacy|safety|regulation,automation
55-64,Master's,50-100k,male,Midwest,urban,Manufacturing,Skilled Trade,10,never,FALSE,1.3822863606868119,3.7233349718428137,2.609538424466959,6,neutral,accuracy,content_generation
18-24,Bachelor's,50-100k,male,West,rural,Manufacturing,Manager,8,never,TRUE,2.0719168301177353,3.139293868060437,4.030367577063089,4,positive,privacy,content_generation
45-54,Bachelor's,25-50k,male,South,urban,Government,Manager,5,never,FALSE,1.5552694506674203,1.8980680737585038,5.287828660297513,4,negative,privacy,automation|customer_service|content_generation
65+,Some college / Associate,50-100k,female,Midwest,urban,Healthcare,Individual Contributor,4,never,TRUE,0.9052109129765102,1.6475283807209367,1.5337222335475365,3,neutral,privacy,automation|analytics
35-44,Bachelor's,50-100k,female,West,urban,Manufacturing,Clerical/Support,3,daily,FALSE,0.6790585081923524,1,4.895688389390113,2,negative,regulation,customer_service
18-24,Master's,25-50k,male,South,rural,Services,Individual Contributor,6,daily,TRUE,-0.25549441,3.1672441537593086,5.806373120883951,2,positive,job_loss|safety,analytics
25-34,High School or less,<25k,male,West,suburban,Finance,Manager,7,never,FALSE,0.9200180171443485,3.582296832654293,6.194101093,3,neutral,transparency,agents
25-34,Some college / Associate,50-100k,male,Northeast,urban,Education,Individual Contributor,6,rarely,FALSE,0.8587934611278684,1.1111052505605707,6.263222631229889,5,neutral,job_loss,augmentation
35-44,Some college / Associate,50-100k,male,West,urban,Government,Manager,2,never,FALSE,-0.179671398,4.266313820791441,3.4344166463347294,3,positive,privacy,hiring
25-34,Bachelor's,25-50k,male,Northeast,rural,Manufacturing,Individual Contributor,8,daily,FALSE,1.4855490946965708,4.472133551578731,3.7728893435479627,4,positive,bias,automation
25-34,Some college / Associate,<25k,female,South,urban,Other,Individual Contributor,5,never,FALSE,0.45699789632385357,2.663253823778356,4.228551630250197,2,positive,privacy|accuracy|ethics,customer_service
45-54,Bachelor's,50-100k,male,South,urban,Technology,Individual Contributor,8,never,TRUE,0.8299798160323417,4.095603415742675,4.952130054,3,neutral,bias,automation|agents
45-54,High School or less,100-200k,female,Northeast,urban,Finance,Individual Contributor,4,never,TRUE,1.5683433543864862,1.619139511,3.715857239238659,2,negative,bias,customer_service|analytics
65+,Some college / Associate,25-50k,female,West,suburban,Services,Individual Contributor,8,never,FALSE,-0.290992479,3.289708349910768,4.655381364384661,5,negative,regulation,content_generation
25-34,Doctorate/Prof,25-50k,male,Midwest,rural,Education,Clerical/Support,4,never,FALSE,1.4946551243974395,2.023822664,4.3916260073869715,4,positive,regulation,augmentation|content_generation
45-54,Bachelor's,100-200k,female,Midwest,rural,Technology,Skilled Trade,6,rarely,FALSE,0.638285599,4.281865266543856,4.4937491089531045,5,neutral,transparency,customer_service|analytics
25-34,Doctorate/Prof,<25k,male,Northeast,urban,Technology,Manager,7,rarely,TRUE,1.4081969711871452,2.5834284599881148,1.9340965284607647,5,negative,privacy,automation
55-64,Doctorate/Prof,50-100k,female,South,suburban,Education,Executive,8,rarely,FALSE,0.1259538769407469,2.1733280185756443,2.173393578785066,4,positive,job_loss,augmentation|content_generation
45-54,Bachelor's,50-100k,female,West,urban,Other,Clerical/Support,3,never,FALSE,-1.380382666,2.7248170803624046,3.1561865974283068,1,neutral,accuracy|regulation,augmentation
25-34,Some college / Associate,<25k,female,Northeast,suburban,Healthcare,Clerical/Support,6,never,FALSE,2.5204458620927688,2.527857748709966,2.396764760491571,5,neutral,job_loss|safety|regulation,augmentation
25-34,High School or less,25-50k,female,South,urban,Healthcare,Manager,7,never,FALSE,0.9999723740201121,3.743646653138215,3.949561032176516,4,neutral,accuracy,automation
25-34,Some college / Associate,25-50k,nonbinary,South,rural,Other,Manager,5,monthly,FALSE,1.1780330071262295,2.8665144494766683,4.022436999081897,4,neutral,job_loss,augmentation
25-34,High School or less,100-200k,female,West,urban,Government,Manager,7,rarely,FALSE,0.16567475896483508,4.751458770226491,5.323281960055162,3,negative,accuracy,analytics
65+,High School or less,50-100k,male,Midwest,urban,Retail,Individual Contributor,6,never,FALSE,-0.091509298,2.4699974097712047,5.069984283277919,1,positive,accuracy|transparency,content_generation
18-24,Bachelor's,50-100k,male,West,suburban,Technology,Individual Contributor,5,monthly,TRUE,0.007277584,3.556325216053244,4.698576514191487,2,negative,job_loss,content_generation
25-34,Master's,100-200k,male,South,urban,Services,Individual Contributor,8,daily,FALSE,3.078436453896408,2.433399288007357,5.864717790258896,2,neutral,ethics,analytics
45-54,Bachelor's,50-100k,male,Midwest,urban,Other,Manager,4,rarely,FALSE,1.0865073041617506,3.6699978076434236,2.519900260841557,3,negative,job_loss|privacy,customer_service
45-54,Some college / Associate,200k+,male,South,suburban,Services,Skilled Trade,7,never,FALSE,2.557058722963518,5.550010441824529,3.457663289852985,4,positive,job_loss,analytics
35-44,Some college / Associate,25-50k,female,South,urban,Manufacturing,Clerical/Support,9,never,FALSE,1.7830764296142165,1,3.416892161511917,3,positive,accuracy,customer_service|agents
35-44,High School or less,100-200k,male,Midwest,urban,Other,Manager,8,rarely,FALSE,1.5461039082652022,5.272789896877805,3.2490527331890506,3,positive,job_loss,content_generation
55-64,High School or less,25-50k,nonbinary,West,urban,Healthcare,Individual Contributor,7,never,TRUE,1.2537415066361686,3.2746822567422456,4.085915678537098,3,neutral,bias|accuracy,analytics
35-44,High School or less,25-50k,nonbinary,South,suburban,Other,Individual Contributor,0,rarely,FALSE,-0.933425867,2.2592623583256684,3.6282248289999575,1,positive,accuracy|ethics,analytics
45-54,Bachelor's,50-100k,female,South,urban,Healthcare,Individual Contributor,7,rarely,FALSE,1.5658422556024407,2.1506049305857498,2.934766688025782,3,positive,regulation,content_generation
18-24,Some college / Associate,200k+,female,South,urban,Services,Skilled Trade,6,never,FALSE,0.522539862,1,5.001627602368758,3,positive,accuracy,augmentation
65+,Some college / Associate,100-200k,female,South,urban,Education,Clerical/Support,7,rarely,FALSE,-1.299217179,1.786554967046272,5.587765437688443,3,neutral,accuracy|transparency,analytics
55-64,Master's,50-100k,male,Midwest,suburban,Retail,Executive,6,monthly,FALSE,1.1755346748855018,3.217558642417541,4.683887098527345,3,neutral,job_loss,augmentation
18-24,Bachelor's,50-100k,female,West,suburban,Finance,Individual Contributor,4,never,FALSE,0.049122007,4.633960685803112,3.7011532258790343,4,neutral,safety,agents
25-34,Bachelor's,25-50k,male,Northeast,urban,Retail,Individual Contributor,6,rarely,TRUE,1.5753773646292193,1.7486211114876031,1.9971868127964338,3,neutral,privacy,augmentation|analytics
25-34,Master's,25-50k,male,Midwest,urban,Finance,Individual Contributor,6,never,TRUE,0.34495006097297004,3.7446843096489886,4.738986947479335,5,positive,job_loss|bias,analytics
45-54,Some college / Associate,<25k,female,Northeast,suburban,Other,Individual Contributor,2,never,FALSE,0.3958574575289302,1.498869694857252,4.541148932,1,positive,privacy,analytics
55-64,Doctorate/Prof,50-100k,female,West,rural,Services,Individual Contributor,5,never,FALSE,0.6641817190793708,3.0054654813153534,4.861353780347542,3,negative,privacy,customer_service
25-34,Some college / Associate,25-50k,female,Midwest,urban,Other,Clerical/Support,6,never,FALSE,-0.206999705,5.529098606156911,4.6013690016049145,3,neutral,privacy,analytics
45-54,Some college / Associate,100-200k,nonbinary,West,suburban,Services,Individual Contributor,4,rarely,FALSE,-0.558753422,3.6502365128951806,4.100647966,2,positive,privacy,augmentation
55-64,Bachelor's,<25k,male,South,urban,Government,Clerical/Support,7,rarely,FALSE,1.891801944685091,3.6119195270399564,3.4707891283255687,3,negative,privacy,augmentation
18-24,Bachelor's,25-50k,male,South,urban,Education,Individual Contributor,3,never,FALSE,1.6672242699961868,2.30695045,2.6160872405860083,3,neutral,accuracy,automation
35-44,Master's,100-200k,female,South,urban,Finance,Individual Contributor,6,daily,TRUE,0.5635646639632588,4.3597564785979035,5.5474738267102675,3,negative,job_loss,analytics
18-24,High School or less,50-100k,male,Northeast,suburban,Services,Individual Contributor,1,rarely,FALSE,-1.319740063,3.645000705,4.993140721823869,2,neutral,job_loss,analytics
65+,High School or less,<25k,male,West,suburban,Services,Individual Contributor,6,monthly,FALSE,0.611320176,3.2606096625294643,2.0242239110388054,3,positive,accuracy,automation
65+,Bachelor's,25-50k,male,West,urban,Other,Individual Contributor,6,rarely,FALSE,0.6322452739529614,1.7076159789157341,5.731725216930198,4,positive,bias,analytics
65+,High School or less,<25k,female,South,urban,Technology,Manager,0,never,TRUE,-1.680803126,1,4.245402798176073,1,positive,job_loss,automation
25-34,Master's,200k+,male,West,urban,Manufacturing,Individual Contributor,5,never,FALSE,-0.751288207,2.9268977093522395,3.187365352673158,4,positive,privacy|accuracy,content_generation
18-24,Bachelor's,200k+,male,South,suburban,Finance,Manager,5,monthly,FALSE,-1.688062004,2.546380172,3.271275725798606,4,negative,transparency,content_generation
35-44,Some college / Associate,25-50k,female,West,urban,Government,Manager,5,never,FALSE,1.514845242785784,2.1494837300237273,4.573283560391453,1,positive,accuracy,automation|augmentation
45-54,High School or less,<25k,female,West,suburban,Services,Manager,1,never,FALSE,0.20219899887736914,1,5.307964255569979,3,negative,accuracy,customer_service
25-34,Some college / Associate,25-50k,female,West,urban,Education,Individual Contributor,6,never,FALSE,0.3740001879460372,3.101264091,3.7721695443493504,5,positive,privacy|transparency,agents
25-34,Some college / Associate,100-200k,female,South,urban,Other,Individual Contributor,6,never,FALSE,-2.170864117,4.339303230486239,3.1286740426284814,3,negative,job_loss|privacy|accuracy,automation
45-54,High School or less,50-100k,female,Midwest,rural,Finance,Individual Contributor,6,never,FALSE,-1.029979774,2.284217986,2.889609361791311,3,negative,bias|transparency,augmentation
25-34,High School or less,25-50k,male,West,rural,Manufacturing,Manager,6,never,FALSE,-0.0761519,3.5301598984290545,2.958034536117125,4,neutral,job_loss,automation|augmentation|customer_service
35-44,Bachelor's,50-100k,female,South,rural,Education,Individual Contributor,5,never,FALSE,0.5313180756365024,4.3160231049464395,3.794734318599132,4,positive,privacy,hiring
25-34,Master's,25-50k,male,South,urban,Healthcare,Individual Contributor,9,never,FALSE,2.1051789067519735,2.922692789493011,1.4795508801604877,4,positive,privacy|bias|accuracy|ethics,analytics
55-64,Master's,50-100k,female,South,suburban,Technology,Manager,8,never,FALSE,2.2068897562925485,5.487206088276951,4.132654193352102,5,neutral,privacy,customer_service
18-24,Some college / Associate,50-100k,female,South,urban,Retail,Skilled Trade,10,rarely,FALSE,0.4179922871020276,6.250676805654824,3.089190131034031,4,neutral,bias,analytics
25-34,Some college / Associate,25-50k,male,South,rural,Other,Individual Contributor,9,never,FALSE,1.7104424669439902,4.443722910887101,3.7878304369538767,5,negative,bias,augmentation
35-44,Some college / Associate,<25k,male,South,urban,Services,Manager,6,never,TRUE,-0.674454184,4.4701916935451464,3.4329510604110625,5,negative,transparency,agents
